Season,value,Testosterone_nmolperL_Progesterone
Fall,15.7,Testosterone
Spring,50,Testosterone
Summer,50,Testosterone
Summer,48,Testosterone
Summer,49,Testosterone
Fall,50,Testosterone
Spring,50,Testosterone
Spring,50,Testosterone
Summer,40.5,Testosterone
Summer,42,Testosterone
Summer,42.5,Testosterone
Fall,43,Testosterone
Spring,0.75,Progesterone
Spring,0.6,Progesterone
Summer,0.72,Progesterone
Summer,0.68,Progesterone
Summer,0.61,Progesterone
Fall,0.6,Progesterone
Spring,0.68,Progesterone
Spring,0.59,Progesterone
Summer,0.62,Progesterone
Summer,0.55,Progesterone
Summer,0.61,Progesterone
Fall,0.6,Progesterone
